,name,L （cd/m2),Le (W/sr/m2),x,y,u,v,u`,v`,S/P,CCT(K),Duv,λd(nm),λp(nm),HW(nm),Purity(%),R ratio(%),G ratio(%):,B ratio(%),Ra,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,Ip,积分时间,开始波长,结束波长,Unknown,Unknown,视场角
1,blue 1,0.9660575,0.018223796,0.15268578,0.047233038,0.18726265,0.08689399,0.18726267,0.130341,14.059301,100000,-0.17917678,460.86,450,15.1302185,94.698715,1.97159,45.5222,52.50621,-27.28104,5.611103,6.8188424,-96.39908,-85.900154,14.377438,-9.968724,-23.636877,-29.150871,-210.49924,-116.667305,-122.93641,-45.450176,6.9457746,-6.304487,33.324524,20988,1968.75,350,1000,1,1,5
2,blue 2,0.95694214,0.018435437,0.1521116,0.046692397,0.18686438,0.08604024,0.18686438,0.12906036,14.217223,100000,-0.18001573,460.97,450,15.219208,94.906555,1.3014519,45.572758,53.12579,-29.404345,-1.098546,6.810987,-95.39082,-89.84391,10.054282,-11.284064,-23.468578,-31.014093,-231.30154,-113.276276,-128.35402,-46.83806,2.0028868,-6.1808925,27.613182,20912,1968.75,350,1000,1,1,5
3,blue 3,0.97853255,0.018497562,0.1525074,0.047820978,0.18661976,0.08777613,0.18661976,0.1316642,13.921102,100000,-0.17827252,461.1,450,15.102631,94.61923,1.8137391,46.263233,51.92303,-26.720608,3.2536244,8.330211,-93.68167,-86.43354,13.14548,-8.964831,-21.901043,-27.51309,-206.6969,-111.59934,-124.126434,-43.366188,5.3368435,-5.0663147,32.487812,20970,1968.75,350,1000,1,1,5
4,green1,9.813388,0.019964248,0.21513695,0.7213227,0.07665941,0.38554168,0.07665941,0.5783125,2.2498858,7127,0.14461398,535.66003,527,39.692535,87.214226,0.24863632,98.98361,0.7677536,-21.048704,-37.409557,-5.061564,-11.520675,-61.430466,-11.615399,-10.615922,1.7614721,-32.497517,-367.39197,-98.31975,-94.42152,-31.08856,-39.769478,43.690998,-36.429394,24319,3521.7788,350,1000,1,1,5
5,green2,9.805711,0.01979682,0.21523175,0.7217871,0.07665643,0.38560498,0.07665643,0.57840747,2.2496078,7124,0.14465117,535.70996,528,39.356293,87.37962,0.24458548,98.97983,0.775589,-21.666683,-37.316307,-5.5607843,-12.671573,-62.35436,-11.615415,-10.989593,0.28752548,-33.112953,-366.49414,-99.29933,-95.304016,-31.074352,-39.86588,43.110794,-36.342922,24545,3560.1282,350,1000,1,1,5
6,green3,9.821065,0.020045245,0.21476623,0.723277,0.076362744,0.38575488,0.076362744,0.57863235,2.2492537,7127,0.14497897,535.7,527,39.660583,87.69199,0.24459298,98.99427,0.7611389,-23.106678,-37.755684,-6.6709676,-15.069781,-64.38179,-11.948368,-12.01869,-2.4339118,-34.574238,-368.03647,-101.48513,-97.46982,-32.159336,-40.454517,41.925175,-36.774685,24435,3492.1409,350,1000,1,1,5
7,red1,3.6197996,0.02096501,0.680151,0.3107886,0.5067093,0.34730408,0.50670934,0.52095616,0.12936403,1001,-0.05925839,619.08,631,7.2074585,97.34823,91.00062,8.820138,0.17924404,37.5103,32.433563,88.51925,44.780293,14.404243,36.737705,87.82141,23.979338,-28.593405,-144.08273,89.5706,37.96122,52.987522,52.01512,69.65618,-1.6980205,23689,1312.5,350,1000,1,1,5
8,red2,3.6625495,0.020632902,0.6773348,0.31114006,0.5036872,0.34706014,0.5036872,0.5205902,0.14283857,1001,-0.05629308,618.98,631,7.2052,96.6122,90.23236,9.58936,0.17827892,40.888332,37.300972,90.19884,46.81364,21.951511,42.85549,84.74497,26.501839,-23.260603,-133.60141,92.3667,48.038975,47.618534,56.06923,71.3469,3.3606014,23741,1312.5,350,1000,1,1,5
9,red3,3.6165283,0.020795222,0.6796533,0.31020477,0.506906,0.34704015,0.506906,0.52056026,0.13060112,1001,-0.059486713,619.41,631,7.2469482,97.01757,91.255356,8.544702,0.19994259,37.690975,33.00429,88.76903,45.28032,14.650297,37.059727,87.77434,23.764627,-28.774815,-144.25005,89.54174,37.644157,52.863987,52.552456,70.10917,-1.4664543,23633,1312.5,350,1000,1,1,5
10,white1,14.383173,0.054570045,0.30563956,0.31450212,0.19837882,0.30619672,0.1983788,0.4592951,2.510267,7076,-0.000682,482.36,631,7.225708,10.97591,23.208158,72.707634,4.0842056,54.908035,47.391125,94.71582,44.577965,35.08394,62.45664,94.78589,55.831394,4.4214997,-124.82368,96.158554,26.183582,72.05108,60.454414,64.49096,30.240707,23904,1312.5,350,1000,1,1,5
11,white2,14.426907,0.05447587,0.30555752,0.31494832,0.19814813,0.30635682,0.19814812,0.4595352,2.5112739,7073,-0.000401528,482.64,631,7.2373047,10.954993,23.193472,72.72191,4.0846176,54.989662,47.56606,94.83438,44.67659,35.230057,62.58809,94.79456,55.774128,4.4534307,-124.71982,96.1021,26.351206,72.03846,60.638515,64.57067,30.412138,23850,1312.5,350,1000,1,1,5
12,white3,14.399946,0.05458445,0.30528808,0.31474072,0.19803607,0.3062518,0.19803607,0.4593777,2.5149336,7095,-0.000365546,482.62,631,7.2232666,11.062561,23.185987,72.70474,4.109268,54.971054,47.533688,94.81332,44.639404,35.27426,62.603138,94.79485,55.768078,4.3417115,-125.2221,96.13832,26.419716,71.88094,60.608032,64.55323,30.296148,23916,1312.5,350,1000,1,1,5
